ISIN,Date,Price,Model
AT0000922554,2023-10-03,30.61,prod_exponential_smoothing
AT0000922554,2023-10-04,30.61,prod_exponential_smoothing
AT0000922554,2023-10-05,30.62,prod_exponential_smoothing
AT0000922554,2023-10-06,30.62,prod_exponential_smoothing
AT00000VIE62,2023-09-25,46.87,prod_exponential_smoothing
AT00000VIE62,2023-09-26,46.94,prod_exponential_smoothing
AT00000VIE62,2023-09-27,47.02,prod_exponential_smoothing
AT00000VIE62,2023-09-28,47.09,prod_exponential_smoothing
AT00000VIE62,2023-09-29,47.16,prod_exponential_smoothing
AT00000VIE62,2023-10-02,47.23,prod_exponential_smoothing
AT00000VIE62,2023-10-03,47.31,prod_exponential_smoothing
AT00000VIE62,2023-10-04,47.38,prod_exponential_smoothing
AT00000VIE62,2023-10-05,47.45,prod_exponential_smoothing
AT00000VIE62,2023-10-06,47.52,prod_exponential_smoothing
AT0000741053,2023-09-25,24.8,prod_exponential_smoothing
AT0000741053,2023-09-26,24.84,prod_exponential_smoothing
AT0000741053,2023-09-27,24.89,prod_exponential_smoothing
AT0000741053,2023-09-28,24.94,prod_exponential_smoothing
AT0000741053,2023-09-29,24.98,prod_exponential_smoothing
AT0000741053,2023-10-02,25.03,prod_exponential_smoothing
AT0000741053,2023-10-03,25.08,prod_exponential_smoothing
AT0000741053,2023-10-04,25.12,prod_exponential_smoothing
AT0000741053,2023-10-05,25.17,prod_exponential_smoothing
AT0000741053,2023-10-06,25.22,prod_exponential_smoothing
AT0000785555,2023-09-25,16.75,prod_exponential_smoothing
AT0000785555,2023-09-26,16.72,prod_exponential_smoothing
AT0000785555,2023-09-27,16.69,prod_exponential_smoothing
AT0000785555,2023-09-28,16.66,prod_exponential_smoothing
AT0000785555,2023-09-29,16.63,prod_exponential_smoothing
AT0000785555,2023-10-02,16.6,prod_exponential_smoothing
AT0000785555,2023-10-03,16.57,prod_exponential_smoothing
AT0000785555,2023-10-04,16.54,prod_exponential_smoothing
AT0000785555,2023-10-05,16.51,prod_exponential_smoothing
AT0000785555,2023-10-06,16.48,prod_exponential_smoothing
AT0000831706,2023-09-25,23.83,prod_exponential_smoothing
AT0000831706,2023-09-26,23.82,prod_exponential_smoothing
AT0000831706,2023-09-27,23.8,prod_exponential_smoothing
AT0000831706,2023-09-28,23.79,prod_exponential_smoothing
AT0000831706,2023-09-29,23.78,prod_exponential_smoothing
AT0000831706,2023-10-02,23.77,prod_exponential_smoothing
AT0000831706,2023-10-03,23.75,prod_exponential_smoothing
AT0000831706,2023-10-04,23.74,prod_exponential_smoothing
AT0000831706,2023-10-05,23.73,prod_exponential_smoothing
AT0000831706,2023-10-06,23.71,prod_exponential_smoothing
AT0000644505,2023-09-25,38.58,prod_exponential_smoothing
AT0000644505,2023-09-26,38.51,prod_exponential_smoothing
AT0000644505,2023-09-27,38.44,prod_exponential_smoothing
AT0000644505,2023-09-28,38.37,prod_exponential_smoothing
AT0000644505,2023-09-29,38.3,prod_exponential_smoothing
AT0000644505,2023-10-02,38.23,prod_exponential_smoothing
AT0000644505,2023-10-03,38.16,prod_exponential_smoothing
AT0000644505,2023-10-04,38.09,prod_exponential_smoothing
AT0000644505,2023-10-05,38.02,prod_exponential_smoothing
AT0000644505,2023-10-06,37.94,prod_exponential_smoothing
AT0000758305,2023-09-25,22.67,prod_exponential_smoothing
AT0000758305,2023-09-26,22.64,prod_exponential_smoothing
AT0000758305,2023-09-27,22.6,prod_exponential_smoothing
AT0000758305,2023-09-28,22.57,prod_exponential_smoothing
AT0000758305,2023-09-29,22.54,prod_exponential_smoothing
AT0000758305,2023-10-02,22.51,prod_exponential_smoothing
AT0000758305,2023-10-03,22.47,prod_exponential_smoothing
AT0000758305,2023-10-04,22.44,prod_exponential_smoothing
AT0000758305,2023-10-05,22.41,prod_exponential_smoothing
AT0000758305,2023-10-06,22.38,prod_exponential_smoothing
AT0000938204,2023-09-25,127.83,prod_exponential_smoothing
AT0000938204,2023-09-26,127.65,prod_exponential_smoothing
AT0000938204,2023-09-27,127.48,prod_exponential_smoothing
AT0000938204,2023-09-28,127.3,prod_exponential_smoothing
AT0000938204,2023-09-29,127.12,prod_exponential_smoothing
AT0000938204,2023-10-02,126.95,prod_exponential_smoothing
AT0000938204,2023-10-03,126.77,prod_exponential_smoothing
AT0000938204,2023-10-04,126.59,prod_exponential_smoothing
AT0000938204,2023-10-05,126.41,prod_exponential_smoothing
AT0000938204,2023-10-06,126.23,prod_exponential_smoothing
AT0000908504,2023-09-25,26.07,prod_exponential_smoothing
AT0000908504,2023-09-26,26.08,prod_exponential_smoothing
AT0000908504,2023-09-27,26.1,prod_exponential_smoothing
AT0000908504,2023-09-28,26.12,prod_exponential_smoothing
AT0000908504,2023-09-29,26.14,prod_exponential_smoothing
AT0000908504,2023-10-02,26.15,prod_exponential_smoothing
AT0000908504,2023-10-03,26.17,prod_exponential_smoothing
AT0000908504,2023-10-04,26.19,prod_exponential_smoothing
AT0000908504,2023-10-05,26.2,prod_exponential_smoothing
AT0000908504,2023-10-06,26.22,prod_exponential_smoothing
AT0000A21KS2,2023-09-25,18.24,prod_exponential_smoothing
AT0000A21KS2,2023-09-26,18.28,prod_exponential_smoothing
AT0000A21KS2,2023-09-27,18.32,prod_exponential_smoothing
AT0000A21KS2,2023-09-28,18.36,prod_exponential_smoothing
AT0000A21KS2,2023-09-29,18.41,prod_exponential_smoothing
AT0000A21KS2,2023-10-02,18.45,prod_exponential_smoothing
AT0000A21KS2,2023-10-03,18.49,prod_exponential_smoothing
AT0000A21KS2,2023-10-04,18.53,prod_exponential_smoothing
AT0000A21KS2,2023-10-05,18.57,prod_exponential_smoothing
AT0000A21KS2,2023-10-06,18.62,prod_exponential_smoothing
AT0000641352,2023-09-25,30.87,prod_exponential_smoothing
AT0000641352,2023-09-26,30.9,prod_exponential_smoothing
AT0000641352,2023-09-27,30.92,prod_exponential_smoothing
AT0000641352,2023-09-28,30.95,prod_exponential_smoothing
AT0000641352,2023-09-29,30.98,prod_exponential_smoothing
AT0000641352,2023-10-02,31.0,prod_exponential_smoothing
AT0000641352,2023-10-03,31.03,prod_exponential_smoothing
AT0000641352,2023-10-04,31.05,prod_exponential_smoothing
AT0000641352,2023-10-05,31.08,prod_exponential_smoothing
AT0000641352,2023-10-06,31.11,prod_exponential_smoothing
AT0000821103,2023-09-25,7.57,prod_exponential_smoothing
AT0000821103,2023-09-26,7.57,prod_exponential_smoothing
AT0000821103,2023-09-27,7.57,prod_exponential_smoothing
AT0000821103,2023-09-28,7.57,prod_exponential_smoothing
AT0000821103,2023-09-29,7.57,prod_exponential_smoothing
AT0000821103,2023-10-02,7.57,prod_exponential_smoothing
AT0000821103,2023-10-03,7.57,prod_exponential_smoothing
AT0000821103,2023-10-04,7.57,prod_exponential_smoothing
AT0000821103,2023-10-05,7.57,prod_exponential_smoothing
AT0000821103,2023-10-06,7.57,prod_exponential_smoothing
AT0000999982,2023-09-25,3160.88,prod_LGBMRegressor
AT0000999982,2023-09-26,3159.06,prod_LGBMRegressor
