p;d;q;P;D;Q;s;LookBackWindowSize;SeasonalPeriod
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;2;0;0;0;0;520;1
0;0;1;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;2;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;1;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;1;0;0;0;0;520;1
2;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;1;0;0;0;0;520;1
0;0;3;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;1;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;2;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
3;0;0;0;0;0;0;520;1
0;0;3;0;0;0;0;520;1
0;0;2;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;1;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;1;0;0;0;0;520;1
1;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;1;0;0;0;0;520;1
1;0;0;0;0;0;0;520;1
1;0;0;0;0;0;0;520;1
0;0;1;0;0;0;0;520;1
0;0;3;0;0;0;0;520;1
0;0;1;0;0;0;0;520;1
1;0;0;0;0;0;0;520;1
1;0;0;0;0;0;0;520;1
0;0;1;0;0;0;0;520;1
0;0;2;0;0;0;0;520;1
0;0;1;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
0;0;0;0;0;0;0;520;1
1;0;0;0;0;0;0;520;1
